date,state,regime,prob_Risk-On,prob_Late-Cycle,prob_Transitional,prob_Post-Shock,prob_Risk-Off
2012-03-21,3,Post-Shock,3.8049271960367224e-12,1.2472671585051396e-11,4.617776123053516e-09,0.9999995968047091,3.9856124936761926e-07
2012-03-22,3,Post-Shock,4.653077441136061e-13,1.0317303585702207e-12,6.719048455254803e-10,0.9999994060310146,5.932955745148082e-07
2012-03-23,3,Post-Shock,5.4450965895186065e-14,5.268493726878812e-12,5.510524577399803e-09,0.9999928870364007,7.107446940885047e-06
2012-03-26,3,Post-Shock,1.9310601515574572e-13,5.633796524119105e-13,4.659266691664282e-10,0.9999975592502551,2.4402823416372546e-06
2012-03-27,3,Post-Shock,3.382295975098601e-12,2.7673388585979093e-11,2.3747507955277975e-08,0.9999985339138053,1.4423069307894661e-06
2012-03-28,3,Post-Shock,1.7849558804274107e-09,1.3757438361150763e-09,2.2728509682940205e-07,0.9999879387996543,1.1830755280983916e-05
2012-03-29,3,Post-Shock,1.6810179756092257e-07,2.7637673262845736e-08,1.845824535010578e-06,0.9999966959967436,1.2624401344808872e-06
2012-03-30,3,Post-Shock,1.4247613211572534e-06,3.0265151241789716e-07,1.9715022778671947e-05,0.9999547081731865,2.3849391208507634e-05
2012-04-02,3,Post-Shock,1.6748008707897633e-05,4.776274826920544e-06,0.00017402085236501341,0.9997667058194205,3.774904549297841e-05
2012-04-03,3,Post-Shock,0.00015196502613033696,3.0305929327044764e-05,0.00131092877547351,0.9983224409222253,0.00018435934614722123
2012-04-04,3,Post-Shock,0.0012683555763250021,0.00019174523158901947,0.003193289491144948,0.9951788238080859,0.0001677858933717407
2012-04-09,3,Post-Shock,0.0025842700164690376,0.001826464667465001,0.0038229554150650473,0.9906286025871245,0.0011377073145348085
2012-04-10,3,Post-Shock,0.0006467770470895222,0.002225935290220875,0.04212531034276648,0.9093047122068112,0.04569726511359775
2012-04-11,4,Risk-Off,0.00029279444436474734,0.0003615087225329924,0.004603171115348404,0.36656404442882123,0.6281784812889023
2012-04-12,4,Risk-Off,7.192868230982823e-05,0.0002589337425865835,0.01291123133401996,0.25756951066021727,0.7291883955804235
2012-04-13,4,Risk-Off,2.3435893390720277e-06,5.405520544844472e-06,0.00029232648468401437,0.07155515067501848,0.9281447737305665
2012-04-16,4,Risk-Off,3.81595642824703e-07,6.374015667850604e-07,0.0001746864657640932,0.031019400752112507,0.9688048937855916
2012-04-17,4,Risk-Off,2.5666943366467077e-06,2.092101579979906e-06,0.0009378297024173417,0.010456440572965648,0.9886010709295754
2012-04-18,4,Risk-Off,1.5445516612772914e-05,6.1187120464723355e-06,0.00042774591393068725,0.001564932139616407,0.9979857577177678
2012-04-19,4,Risk-Off,1.369411090416781e-05,1.572058591957872e-05,0.0007595420334593517,0.00031281679372614215,0.9988982264766126
2012-04-20,4,Risk-Off,4.982860226280128e-06,1.1036990003642911e-05,0.0004665091911668867,6.309799362462711e-05,0.999454372965134
2012-04-23,4,Risk-Off,3.7248267324847687e-07,6.024610655539655e-07,2.4715894257581003e-05,1.2813478873194466e-05,0.9999614956824
2012-04-24,4,Risk-Off,1.0026874014992635e-06,5.33482088917636e-07,0.00028343750381823246,4.48561137779151e-06,0.9997105407156629
2012-04-25,4,Risk-Off,6.716544040816406e-06,2.056644587433712e-06,0.00015891455942127438,3.816970708937539e-06,0.9998284952819578
2012-04-26,4,Risk-Off,1.583471830196622e-05,9.722877255054097e-06,0.001311005754325724,6.199733633166952e-06,0.9986572369170245
2012-04-27,4,Risk-Off,6.121209538416497e-05,2.0852038216466354e-05,0.00032191849230502447,2.6416055348140446e-06,0.9995933757682635
2012-04-30,4,Risk-Off,4.6286264679921606e-05,6.140716059097553e-05,0.000962499421070132,4.322136667621495e-06,0.998925485016545
2012-05-02,4,Risk-Off,3.242182324589603e-05,5.602550652949919e-05,0.0014135867880993261,4.696634605071711e-06,0.9984932692472224
2012-05-03,4,Risk-Off,2.8444973887586115e-06,1.3226567494013485e-05,0.00013383319164599213,1.4989404050621691e-06,0.9998485968037902
2012-05-04,4,Risk-Off,1.2068633092499252e-07,5.082476674574877e-07,4.385649235906307e-05,4.146358119318988e-06,0.999951368216209
2012-05-07,4,Risk-Off,4.510713125387929e-08,5.060858768791006e-08,3.20952568913474e-05,4.249509073677729e-06,0.999963559517749
2012-05-08,4,Risk-Off,1.1839758155049291e-08,1.0223270412325994e-08,1.0060302262205937e-05,1.1722477093383357e-05,0.9999781951568237
2012-05-09,4,Risk-Off,1.9939434174462265e-08,1.5876975850232438e-08,2.039434365616489e-05,5.5112132675704706e-06,0.9999740586262917
2012-05-10,4,Risk-Off,7.48368761474652e-09,6.252225564187129e-09,6.868824552634802e-06,6.096933848038636e-06,0.9999870205052654
2012-05-11,4,Risk-Off,1.4434118241350382e-08,1.1269922485167435e-08,1.6266540119307434e-05,9.705191057195246e-06,0.9999740025646753
2012-05-14,4,Risk-Off,2.9144844007985773e-09,2.374270838227855e-09,3.1786435838244377e-06,1.2627054422082104e-05,0.999984189012533
2012-05-15,4,Risk-Off,8.150503926215635e-09,6.287775704874664e-09,9.21017619094986e-06,4.343753314340689e-06,0.9999864316316337
2012-05-16,4,Risk-Off,3.6786728998500278e-09,2.8806792773059295e-09,4.509427040770624e-06,2.2995748320809475e-05,0.9999724882655895
