date,prob_Risk-On,prob_Late-Cycle,prob_Transitional,prob_Post-Shock,prob_Risk-Off,regime_call,confidence
2023-09-11,0.04361910261803489,0.015440302911820379,0.9201903951702396,0.006185050553375125,0.014565148746530051,Transitional,0.9201903951702396
2023-09-12,0.005023411068458297,0.0022572458211065098,0.9572518817893939,0.017830564184744893,0.017636897136296428,Transitional,0.9572518817893939
2023-09-13,0.017519995645914284,0.006375636037710611,0.9521618790975869,0.00975201269292811,0.014190476525860132,Transitional,0.9521618790975869
2023-09-14,0.19756166771111122,0.022848425710312502,0.7691410720278914,0.002744226775635965,0.0077046077750488285,Transitional,0.7691410720278914
2023-09-15,0.005322732999979359,0.0017460765382445642,0.9732369496188281,0.006381874933548583,0.013312365909399214,Transitional,0.9732369496188281
2023-09-18,0.019092138537315655,0.002473240578837553,0.9604297368434789,0.007454101010443903,0.010550783029924083,Transitional,0.9604297368434789
2023-09-20,0.008016292115176564,0.0011001898881605704,0.9757249655564254,0.007572065341358809,0.007586487098878636,Transitional,0.9757249655564254
2023-09-21,0.014997712125680308,0.0023281502324816452,0.9657826539863203,0.007365982837560892,0.009525500817956896,Transitional,0.9657826539863203
2023-09-22,0.01679433231973273,0.004087637005135545,0.9183868699667864,0.00967220798669355,0.05105895272165167,Transitional,0.9183868699667864
2023-09-25,0.004731918738182419,0.0007724461405990844,0.9512159449772452,0.013434708743853455,0.029844981400119888,Transitional,0.9512159449772452
2023-09-26,0.19083942752889402,0.031132928509642575,0.7512624116344415,0.0037128313776779694,0.02305240094934396,Transitional,0.7512624116344415
2023-09-27,0.06872724652033725,0.008026072456000047,0.9065755165284892,0.008033310261870043,0.00863785423330342,Transitional,0.9065755165284892
2023-09-28,0.013214331119546324,0.004340030686548532,0.9656336992201727,0.006170160021921288,0.010641778951811124,Transitional,0.9656336992201727
2023-09-29,0.0008758557768892212,0.0001561706326532916,0.9654606832901683,0.010291391031620953,0.02321589926866834,Transitional,0.9654606832901683
2023-10-03,0.005139217102075369,0.0013482423944051881,0.889409242741376,0.03601779545884817,0.06808550230329521,Transitional,0.889409242741376
2023-10-04,0.011258649962338918,0.0038831241577355945,0.9151507536987838,0.01980000870138153,0.049907463479760154,Transitional,0.9151507536987838
2023-10-05,0.01701928817994724,0.005395795752584272,0.9111183365530354,0.010680118642186312,0.05578646087224676,Transitional,0.9111183365530354
2023-10-06,0.08124379676088166,0.009238045676824248,0.8765283497135844,0.009990904735469064,0.02299890311324059,Transitional,0.8765283497135844
2023-10-09,0.020204924498072506,0.0036291277949507487,0.9597433997032384,0.005947828281797337,0.010474719721941065,Transitional,0.9597433997032384
2023-10-10,0.045554770640556914,0.008746374855561349,0.9100885380208167,0.012178616222064034,0.023431700261000867,Transitional,0.9100885380208167
2023-10-11,0.009196187391998574,0.0029730758534686954,0.916970956757294,0.024050224050839415,0.04680955594639924,Transitional,0.916970956757294
2023-10-12,0.05075985742098944,0.0132818459004341,0.876418582958269,0.02519668020197514,0.034343033518332206,Transitional,0.876418582958269
2023-10-13,0.07128665793307648,0.00990527417261058,0.8601518767066803,0.01634998979852655,0.04230620138910621,Transitional,0.8601518767066803
2023-10-16,0.011737847941073232,0.002829656094044115,0.9489147201279086,0.02003774084647422,0.016480034990499826,Transitional,0.9489147201279086
2023-10-17,0.14223620131010883,0.025685948287227353,0.7965703492242058,0.011718466372450017,0.02378903480600805,Transitional,0.7965703492242058
2023-10-18,0.012519794837811916,0.004061466778976692,0.9182516503888422,0.021496551336048962,0.043670536658320186,Transitional,0.9182516503888422
2023-10-19,0.08570425653506139,0.014961239939652354,0.8686633683108489,0.008496911933962592,0.022174223280474734,Transitional,0.8686633683108489
