date,strategy,buyhold
2019-01-02,0.993551255833389,0.993551255833389
2019-01-03,0.9874595265615472,0.982481110962973
2019-01-04,0.9902646206807998,0.9875535488680424
2019-01-07,0.9925299138083776,0.991645607925237
2019-01-08,0.9941692570469806,0.9944396651662362
2019-01-09,0.9990470793988356,0.9993188142567314
2019-01-10,0.9957715857654401,0.9962301489016118
2019-01-11,0.9932750506936283,0.9937768193849085
2019-01-14,0.9879980549573149,0.9884971578902609
2019-01-15,1.0025146458281575,1.0022324408574437
2019-01-16,1.0028425116589257,1.00255464881625
2019-01-17,1.004214626791389,1.0039263700873065
2019-01-18,1.0043842481155967,1.0040874740667096
2019-01-21,1.0095362462663378,1.0091414821080638
2019-01-22,1.0059353509534557,1.0055419948718232
2019-01-23,0.997060286673724,0.9971415730886592
2019-01-24,0.9987768234726092,0.9988262424357773
2019-01-25,0.9924020242808678,0.992451127822253
2019-01-28,0.9834836086741573,0.9814960572228392
2019-01-29,0.9828677388745,0.980635337636452
2019-01-30,0.9828419110286744,0.9805984779090217
2019-01-31,0.9944350355798093,0.9970909583897732
2019-02-01,0.9988460095514056,1.0028631018036007
2019-02-04,1.000267854809203,1.0045753709954044
2019-02-05,1.0019622353292121,1.0066098481460144
2019-02-06,1.0117461194005697,1.018402713379389
2019-02-07,1.0122970012907322,1.0190425443065163
2019-02-08,1.0023118997277352,1.0074613977514308
2019-02-11,0.9980122469357738,1.0024165596910473
2019-02-12,0.9938495676275411,0.9971324031076887
2019-02-14,0.9886507221523615,0.9892750779425908
2019-02-15,0.9875276093323938,0.9872820455098965
2019-02-18,0.983271609061999,0.9795996691974317
2019-02-19,0.9814108746316214,0.9762302406014214
2019-02-20,0.9880848298451825,0.9882992840852014
2019-02-21,0.9908397813955403,0.9933072624181546
2019-02-22,0.9909311639865575,0.9934730412898173
2019-02-25,0.99557824978121,1.0016156247845167
2019-02-26,0.9929838664809824,0.9974913808921511
2019-02-27,0.9903583363654346,0.9948539325418441
2019-02-28,0.9889776897105147,0.9935512558333889
2019-03-01,0.9956232526528088,1.0000874744263164
2019-03-05,1.0069830995367766,1.011498257119254
2019-03-06,1.0133040352143523,1.017532733910257
2019-03-07,1.0137896966604076,1.018011460857981
2019-03-08,1.011699464373977,1.0159125241352551
2019-03-11,1.024498000439779,1.028124151832949
2019-03-12,1.0369364494671263,1.040381899140818
2019-03-13,1.040652508423487,1.0441103055212908
2019-03-14,1.0408025069303455,1.0442529796369786
2019-03-15,1.0486153208793354,1.0519491109208992
2019-03-18,1.0518593616502676,1.055203465245907
2019-03-19,1.0586621022049727,1.0616660542857481
2019-03-20,1.0576009704826563,1.0606211259639833
2019-03-22,1.051712229116328,1.0547155683172127
2019-03-25,1.041755416164701,1.0452656332217987
2019-03-26,1.053811614039832,1.0571412979892305
2019-03-27,1.050306002868874,1.053624610287047
2019-03-28,1.0624416693982364,1.0651274523967864
2019-04-01,1.0717199197179925,1.0742551795333943
2019-04-02,1.0757655487109317,1.0783103788631587
2019-04-03,1.0690364630688713,1.0719352642496343
2019-04-04,1.0647321132305858,1.0677051160672368
2019-04-05,1.0709701503964342,1.073960571419274
2019-04-08,1.0649968982898592,1.0683035022764487
2019-04-09,1.071305687494971,1.0745129279200847
2019-04-10,1.0632607283907562,1.0664438840766974
2019-04-11,1.064461334654974,1.0675854568057495
2019-04-12,1.068832069356472,1.0718892345412336
2019-04-15,1.0731372879079464,1.0762067672481734
2019-04-16,1.0824784696068088,1.0851181907160068
2019-04-18,1.0792633304438246,1.0819558958078004
2019-04-22,1.064722035635044,1.0673783231179454
2019-04-23,1.0629363136623646,1.0656752239071123
2019-04-24,1.0770009401306424,1.0795025662910969
2019-04-25,1.069253669515054,1.0717373005428008
2019-04-26,1.0802178114248941,1.0821262596699481
2019-04-30,1.0796066085766862,1.0815278734607365
2019-05-02,1.0774562091076612,1.0793736471468647
2019-05-03,1.076224518062225,1.078222904436842
2019-05-06,1.0654264211606066,1.0677281309214373
2019-05-07,1.0562082093457836,1.0584900044060868
2019-05-08,1.0487711318664235,1.045744360169523
2019-05-09,1.0458251300694854,1.0404370988301899
2019-05-10,1.044659312548678,1.0383289921264933
2019-05-13,1.038000932023674,1.0262968083701436
2019-05-14,1.041782931743271,1.0330953603402466
2019-05-15,1.038461493335567,1.0271069132576445
2019-05-16,1.043587219903031,1.0363220249187945
2019-05-17,1.051243027361542,1.0501356123313235
2019-05-20,1.0729758568058334,1.0889017967858503
2019-05-21,1.0656410501089006,1.0779328813132065
2019-05-22,1.0682621991125896,1.0805842644385177
2019-05-23,1.0602441857264662,1.073141206649028
2019-05-24,1.0777478139386278,1.0903609025814494
2019-05-27,1.0850865551731739,1.097785530507224
2019-05-28,1.0854759699189065,1.0981537681744313
2019-05-29,1.0791756843949822,1.09192591266708
2019-05-30,1.0868912372658446,1.0997326231332918
2019-05-31,1.084667292785117,1.0976059966641059
2019-06-03,1.1000449693806096,1.1128648449990037
2019-06-04,1.0939571949922022,1.106706123956028
2019-06-06,1.0768625053433145,1.0903287177462788
